title,speaker,classification,informative,persuasive,descriptive,entertaining,ceremonial
Best Original Song Oscars Award Acceptance Speech,John Legend and Common,Ceremonial,0.6629484295845032,0.7352108955383301,0.6809691190719604,0.4803031086921692,0.44687676429748535
Best Adapted Screenplay Award Acceptance Speech,Barry Jenkins and Tarell Alvin McCraney,Ceremonial,0.5719395875930786,0.6426795125007629,0.530170738697052,0.4625146687030792,0.35793933272361755
Best Original Screenplay Oscars Award Acceptance Speech,Ben Affleck and Matt Damon,Ceremonial,0.5690397024154663,0.6439276337623596,0.5606175065040588,0.5064424276351929,0.36425212025642395
Tilbury Speech,Queen Elizabeth I,Ceremonial,0.6071911454200745,0.6826804280281067,0.5874031186103821,0.46510767936706543,0.3790375292301178
Ain?t I A Woman,Sojourner Truth,Ceremonial,0.5266543030738831,0.6164624691009521,0.4625263512134552,0.4373161494731903,0.3203446567058563
Barack Obama 2008 presidential election victory speech,Barack Obama,Ceremonial,0.6575435400009155,0.7369157075881958,0.6321436762809753,0.4837837815284729,0.40632984042167664
Bill Gates at Harvard University,Bill Gates,Ceremonial,0.6740232706069946,0.7455067038536072,0.6497553586959839,0.4896242618560791,0.38537412881851196
Michelle Obama at Spelman College,Michelle Obama,Ceremonial,0.6501771807670593,0.7288870811462402,0.6413826942443848,0.4998720586299896,0.39921075105667114
The Great Dictator,Charlie Chaplin,Entertainment,0.6446030139923096,0.722208559513092,0.611906886100769,0.4981149733066559,0.3653693199157715
Independence Day,Bill Pullman,Entertainment,0.653084933757782,0.7113416790962219,0.6402705907821655,0.4526274800300598,0.4309878349304199
Any Given Sunday,Al Pacino,Entertainment,0.5209545493125916,0.6054010987281799,0.4360623359680176,0.4359639585018158,0.2809142768383026
The Lord Of The Rings: The Return Of The King,Aragorn,Entertainment,0.5976079106330872,0.6709869503974915,0.5746946334838867,0.4812745451927185,0.38712233304977417
Everybody can Change,Sylvester Stallone,Entertainment,0.45904335379600525,0.5238898992538452,0.3386792540550232,0.3982437252998352,0.22471870481967926
Gladiator,Russell Crowe,Entertainment,0.5400935411453247,0.5717498660087585,0.47257742285728455,0.4214279055595398,0.29508548974990845
Friday Night Lights,Billy Bob Thornton,Entertainment,0.575427234172821,0.6519017815589905,0.4963987171649933,0.47952914237976074,0.3273971676826477
"Henry V, Act IV, Scene III",William Shakespeare,Entertainment,0.5889906883239746,0.6678614020347595,0.5351155400276184,0.4582973122596741,0.4223688840866089
Rudy,Sean Astin,Entertainment,0.5478785037994385,0.6250346302986145,0.4925445020198822,0.39284229278564453,0.30462199449539185
Was it over when the Germans bombed Pearl Harbor?,John Belushi,Entertainment,0.5228147506713867,0.6044079065322876,0.41934993863105774,0.41561388969421387,0.27828681468963623
The Goonies,Sean Patrick Astin,Entertainment,0.5526701807975769,0.6302789449691772,0.47973743081092834,0.44892919063568115,0.34257665276527405
Scrooged,Bill Murray,Entertainment,0.5622227191925049,0.6425480842590332,0.44271358847618103,0.45462173223495483,0.31594809889793396
Miracle,Kurt Russell,Entertainment,0.5462964177131653,0.6113335490226746,0.4763011038303375,0.4598216712474823,0.32933923602104187
300,Gerard Butler,Entertainment,0.6136884689331055,0.695359468460083,0.6347888708114624,0.49042364954948425,0.40757930278778076
Good Will Hunting ,Robin Williams,Entertainment,0.5474193692207336,0.6186289191246033,0.46369442343711853,0.4601230025291443,0.3053126633167267
Importance of Sleep,Taylor Fondie,Informative,0.6720495820045471,0.744665265083313,0.6509761810302734,0.47803011536598206,0.3701263666152954
Six behaviors to increase your confidence,Emily Jaenson,Informative,0.6208118200302124,0.6957550048828125,0.5933116674423218,0.4643770456314087,0.38297712802886963
Steve Jobs introduces iPhone in 2007,Steve Jobs,Informative,0.6467094421386719,0.7094751000404358,0.5743878483772278,0.4852800667285919,0.3185732662677765
Use Laziness To Your Advantage,Better Than Yesterday,Informative,0.6395808458328247,0.7159675359725952,0.5828622579574585,0.4831540286540985,0.3406130075454712
Why Gravity is NOT a Force,Veritasium,Informative,0.6643869280815125,0.7390342950820923,0.6342780590057373,0.4789791405200958,0.36804938316345215
The Most Beautiful Equation in Math,Carnegie Mellon University,Informative,0.6753284931182861,0.7487195730209351,0.6009112596511841,0.5275661945343018,0.3577916622161865
The hardest problem on the hardest test,3Blue1Brown,Informative,0.6945299506187439,0.7563080787658691,0.6879304647445679,0.4837822914123535,0.37219178676605225
Catholic vs Orthodox - What is the Difference Between Religions?,The Infographics Show,Informative,0.673784077167511,0.7517276406288147,0.6687260866165161,0.49202296137809753,0.42796429991722107
God of War Ragnarok - Before You Buy,gameranx,Informative,0.6261072158813477,0.7019131779670715,0.5787323117256165,0.5199422240257263,0.3509122133255005
The iPhone USB-C Law: Explained!,Marques Brownlee,Informative,0.6639134883880615,0.7289007902145386,0.6024022102355957,0.48073822259902954,0.3596689999103546
Top 10 Certifications For 2023 | Highest Paying Certifications,Simplilearn,Informative,0.7038596868515015,0.7282083630561829,0.7533689141273499,0.4422436058521271,0.365604043006897
The Genius Marketing Strategy of Marlboro Cigarettes | Business Marketing Case study,Think School,Informative,0.6758397221565247,0.7450811266899109,0.6499437689781189,0.48860567808151245,0.40260013937950134
Great Horned Owl on the Hunt | Nat Geo Wild,Nat Geo WILD,Informative,0.5862550139427185,0.6803959608078003,0.6068835854530334,0.49202606081962585,0.3835275173187256
Tesla Glass | The Secret to a Quiet Cabin,Tesla,Informative,0.657978892326355,0.7158340215682983,0.6709003448486328,0.488113671541214,0.3657129108905792
Rishi Sunak Selected as U.K. Prime Minister & U.S. Test Scores Drop | The Daily Show,The Daily Show with Trevor Noah,Informative,0.6184949278831482,0.6994925737380981,0.5459786057472229,0.4659668207168579,0.37421083450317383
Introduction to Cooking,Gordon Ramsay,Demonstrative,0.6026255488395691,0.6723219752311707,0.5685471892356873,0.4948117733001709,0.3432413339614868
How to Make Frozen Hot Choocolate,Nate Harms,Demonstrative,0.5703992247581482,0.6232571601867676,0.4908091127872467,0.4500754475593567,0.2878248691558838
How to do CPR on an Adult (Ages 12 and Older),Cincinnati Children's,Demonstrative,0.6044772863388062,0.6554058194160461,0.6649090647697449,0.4198121428489685,0.36911800503730774
Braids,Hannah Poppe,Demonstrative,0.6062944531440735,0.6890919208526611,0.5649706721305847,0.4757649004459381,0.3586600720882416
How to Apply First Aid,David Nguyen,Demonstrative,0.6449981927871704,0.7059575319290161,0.5551282167434692,0.4422526955604553,0.3068471848964691
How to solve the Rubik's cube,MrIAmRon,Demonstrative,0.6201347708702087,0.6915667057037354,0.5575738549232483,0.4595402777194977,0.343755841255188
Easy Card Trick,McMelvins,Demonstrative,0.5302075147628784,0.5979098081588745,0.4148474335670471,0.4148790240287781,0.2742083668708801
Wrapping a Present,Maggie House,Demonstrative,0.5658352971076965,0.6387917399406433,0.46709486842155457,0.4380471706390381,0.27944672107696533
Self Defense,Kaleigh Newman,Demonstrative,0.5960936546325684,0.663856029510498,0.502119243144989,0.42476773262023926,0.2943563461303711
Crayon Art,Katlyn Hillanbrand,Demonstrative,0.5365012288093567,0.6099352240562439,0.4253183901309967,0.41361522674560547,0.26735174655914307
How To Make Deviled Eggs,Britt Speaks,Demonstrative,0.5512301325798035,0.6028773784637451,0.4570520222187042,0.4131146967411041,0.26297643780708313
Drawing Faces,Izabella Stahlberger,Demonstrative,0.5948073267936707,0.6671398878097534,0.49661964178085327,0.4733044505119324,0.28470999002456665
 How To Enjoy Your Morning,Dorothy Janting,Demonstrative,0.6186623573303223,0.6813815236091614,0.5732606053352356,0.4715208411216736,0.3318299949169159
How to make Cereal,SpeechandDrama,Demonstrative,0.5032503008842468,0.5599544644355774,0.3718402087688446,0.4129917025566101,0.2551955282688141
Mind Trick,Ethan White,Demonstrative,0.6150698065757751,0.6795990467071533,0.5284351110458374,0.47118842601776123,0.32543450593948364
